60.96,16.26,6.45,6.71,18,241.3
49.28,8.59,9.85,17.43,15,186.18
6.6,5.51,8.03,24.24,5,20.83
27.69,-0.56,13.25,22.23,11,105.41
18.54,-6.59,8.82,18.31,15,68.07
5.59,0.76,9.46,18.64,11,24.89
21.34,0.86,8.85,18.43,13,108.2
30.23,8.59,10.78,18.23,19,124.71
58.42,12.13,9.01,17.2,14,145.03
147.07,16.09,10.31,7.84,26,1000
74.17,18.66,8.55,8.03,19,253.49
84.07,17.75,9.13,7.0,23,249.94
68.83,14.44,6.97,13.29,13,119.63
25.65,9.43,8.1,18.51,10,67.06
15.49,8.42,7.82,20.63,9,54.36
10.92,-1.87,9.54,22.5,8,19.3
23.88,-3.29,7.12,13.2,16,100.58
30.23,-1.52,9.47,11.73,19,176.02
51.05,4.15,10.01,13.18,23,345.69
46.99,9.56,10.08,16.37,19,240.79
65.53,12.84,7.49,14.34,21,317.5
103.38,16.1,6.89,12.09,20,329.18
88.65,18.51,10.07,12.12,10,210.31
255.78,17.5,9.96,6.71,25,853.69
49.28,12.59,9.27,13.31,17,217.93
27.69,10.29,8.5,20.33,13,79.25
14.73,4.24,9.79,16.62,19,117.6
42.42,-0.63,11.58,15.68,15,179.58
14.73,-1.09,9.22,18.41,12,60.71
21.84,2.65,9.89,10.53,23,169.16
31.5,6.44,10.6,17.65,16,224.03
90.42,8.4,10.78,18.19,16,179.32
93.22,14.03,7.38,12.79,19,475.74
138.68,15.93,9.44,8.11,23,677.16
38.1,18.26,12.0,12.18,15,190.25
34.04,19.43,8.98,15.66,17,192.53
26.92,14.95,7.37,16.16,13,110.74
59.69,9.98,9.65,17.77,12,111
17.78,5.01,9.51,22.31,10,71.37
46.74,-2.07,9.88,23.56,4,101.09
28.45,-0.17,11.69,22.21,10,60.45
30.23,0.17,9.06,12.3,21,184.91
25.65,3.51,10.59,12.92,24,186.44
37.59,9.41,9.25,10.38,20,204.98
72.39,13.05,10.12,13.49,20,310.9
51.56,15.77,8.86,12.36,18,352.81
136.65,18.35,9.34,9.83,24,635.51
49.53,16.93,7.73,6.24,27,267.21
39.12,15.46,9.49,5.73,19,184.4
43.18,10.67,11.8,19.54,12,92.2
42.93,5.27,9.41,14.16,18,171.7
7.62,-2.48,13.55,24.9,7,19.05
10.92,-0.48,10.96,18.01,13,72.9
58.93,0.66,10.17,13.63,16,216.15
71.37,4.74,9.95,13.37,22,278.64
62.99,10.09,11.51,7.98,8,219.71
84.07,13.28,9.43,10.88,22,565.4
121.41,16.23,12.1,8.38,24,611.38
89.41,16.61,12.23,7.5,23,516.13
136.91,16.88,9.46,12.81,20,360.93
38.1,13.4,9.87,12.92,20,173.48
57.91,11.08,9.63,15.56,14,165.1
35.05,7.03,9.91,9.66,23,227.58
26.16,0.74,11.52,16.43,20,128.27
31.5,-2.11,9.51,7.77,26,182.37
29.21,-1.18,11.55,15.4,10,70.1
68.83,3.33,9.61,9.45,16,111.25
161.04,10.44,10.85,7.6,25,607.06
104.9,13.39,10.73,5.79,25,618.74
132.08,16.23,10.48,3.36,27,574.29
113.79,18.95,9.92,5.44,21,445.26
51.56,18.85,8.2,8.8,17,204.98
130.05,14.85,10.79,7.23,17,395.99
78.23,12.14,10.7,4.96,26,263.65
26.16,6.14,10.86,9.69,19,108.2
32.77,2.55,10.92,15.55,13,128.27
30.48,0.78,9.63,11.7,13,76.2
12.95,1.27,10.96,12.94,12,46.74
37.34,2.55,10.63,9.51,22,238.51
84.58,9.31,10.3,12.25,16,242.06
117.6,13.37,8.95,12.79,20,323.85
137.92,14.89,9.75,4.6,25,505.97
96.52,19.07,11.5,9.33,13,322.58
107.7,18.46,10.68,5.99,20,647.45
33.27,15.97,9.0,6.34,23,199.14
28.7,10.43,11.45,9.46,15,93.22
23.62,6.09,9.16,12.83,15,103.38
21.08,-0.48,11.32,14.58,13,55.88
70.1,-1.79,9.8,10.69,22,188.98
17.27,-1.32,11.8,12.47,16,109.73
33.02,5.69,9.7,9.45,16,152.65
64.77,9.53,10.56,8.48,18,274.57
52.07,14.21,11.09,6.68,22,343.92
98.3,15.95,8.73,7.9,19,330.2
63.5,19.07,8.59,10.61,18,227.84
140.72,18.33,9.9,5.23,24,383.29
33.27,14.7,9.72,9.27,17,109.98
15.24,7.84,9.79,12.33,14,45.47
35.81,7.44,7.78,12.67,15,105.41
30.99,0.41,10.02,7.92,25,197.36
26.92,0.43,9.63,9.72,22,137.92
26.92,1.43,9.98,3.56,25,233.68
40.39,3.83,11.07,9.61,24,178.56
49.53,10.47,9.36,8.88,18,157.23
188.98,12.52,9.11,11.94,13,536.45
69.6,15.96,9.79,9.69,20,447.04
125.22,17.94,8.45,7.02,21,489.46
144.78,18.41,9.08,9.77,16,294.64
69.6,14.79,8.98,11.81,9,145.03
7.11,11.27,7.96,11.91,11,22.61
13.97,5.86,10.41,14.65,14,59.94
20.07,1.36,9.94,13.1,15,60.96
37.59,0.27,9.48,6.41,19,232.41
29.21,1.83,10.36,10.99,14,139.19
42.93,4.82,9.12,8.96,19,196.09
29.21,7.27,9.26,15.63,9,86.11
63.25,14.27,9.72,11.02,15,308.1
60.71,16.69,11.93,2.35,24,590.55
219.2,17.78,11.39,2.06,23,1129.03
41.91,18.6,9.43,6.78,16,109.73
115.32,13.0,9.06,7.61,17,288.29
17.78,9.5,8.85,13.44,15,87.12
21.08,6.91,9.54,13.42,13,77.98
12.19,-1.54,7.85,12.99,8,29.21
